ID,task,human_decision_time,human_ai_decision_time,XAI_value,subtracted_human_ai_decision_time
OX23,11,18.0,2.0,1,-13.0
OX23,12,5.0,9.0,1,-11.0
OX23,13,5.0,20.0,1,5.0
OX23,14,14.0,3.0,1,-13.0
OX23,15,14.0,6.0,1,-5.0
OX24,1,39.0,16.0,1,0.0
OX24,2,22.0,31.0,1,12.0
OX24,3,26.0,14.0,1,1.0
OX24,4,28.0,13.0,1,-1.0
OX24,5,27.0,20.0,1,2.0
OX24,6,26.0,17.0,1,1.0
OX24,7,7.0,22.0,1,6.0
OX24,8,32.0,16.0,1,2.0
OX24,9,27.0,4.0,1,-17.0
OX24,10,32.0,16.0,1,-2.0
OX24,11,43.0,15.0,1,0.0
OX24,12,20.0,14.0,1,-6.0
OX24,13,17.0,21.0,1,6.0
OX24,14,25.0,12.0,1,-4.0
OX24,15,27.0,11.0,1,0.0
OX25,1,28.0,21.0,1,5.0
OX25,2,25.0,40.0,1,21.0
OX25,3,53.0,18.0,1,5.0
OX25,4,42.0,42.0,1,28.0
OX25,5,29.0,50.0,1,32.0
OX25,6,40.0,34.0,1,18.0
OX25,7,22.0,34.0,1,18.0
OX25,8,35.0,16.0,1,2.0
OX25,9,32.0,22.0,1,1.0
OX25,10,43.0,64.0,1,46.0
OX25,11,40.0,32.0,1,17.0
OX25,12,10.0,25.0,1,5.0
OX25,13,35.0,60.0,1,45.0
OX25,14,15.0,45.0,1,29.0
OX25,15,41.0,15.0,1,4.0
OX26,1,27.0,24.0,1,8.0
OX26,2,20.0,45.0,1,26.0
OX26,3,18.0,20.0,1,7.0
OX26,4,23.0,31.0,1,17.0
OX26,5,15.0,30.0,1,12.0
OX26,6,21.0,18.0,1,2.0
OX26,7,9.0,23.0,1,7.0
OX26,8,17.0,10.0,1,-4.0
OX26,9,40.0,16.0,1,-5.0
OX26,10,29.0,23.0,1,5.0
OX26,11,13.0,16.0,1,1.0
OX26,12,17.0,12.0,1,-8.0
OX26,13,20.0,11.0,1,-4.0
OX26,14,11.0,19.0,1,3.0
OX26,15,12.0,13.0,1,2.0
OX27,1,19.0,17.0,1,1.0
OX27,2,26.0,18.0,1,-1.0
OX27,3,15.0,16.0,1,3.0
OX27,4,16.0,16.0,1,2.0
OX27,5,33.0,24.0,1,6.0
OX27,6,15.0,10.0,1,-6.0
OX27,7,25.0,12.0,1,-4.0
OX27,8,19.0,12.0,1,-2.0
OX27,9,13.0,24.0,1,3.0
OX27,10,21.0,17.0,1,-1.0
OX27,11,38.0,10.0,1,-5.0
OX27,12,11.0,8.0,1,-12.0
OX27,13,11.0,15.0,1,0.0
OX27,14,14.0,8.0,1,-8.0
OX27,15,21.0,9.0,1,-2.0
OX28,1,32.0,29.0,1,13.0
OX28,2,30.0,33.0,1,14.0
OX28,3,37.0,39.0,1,26.0
OX28,4,22.0,20.0,1,6.0
OX28,5,21.0,49.0,1,31.0
OX28,6,20.0,12.0,1,-4.0
OX28,7,18.0,44.0,1,28.0
OX28,8,12.0,11.0,1,-3.0
OX28,9,20.0,11.0,1,-10.0
