ID,fixation_durations,fixation_counts,fixation_durations_elmo,fixation_counts_elmo,accumulate_fixation_durations,accumulate_fixation_counts,accumulate_fixation_durations_elmo,accumulate_fixation_counts_elmo,game_percentage,task
O25,0.0,0,0.0,0,305.02452301979065,284,14.759589195251465,36,96.82491222714089,14
O25,0.1712318658828735,2,0.0,0,313.57251811027527,293,14.759589195251465,36,99.36650892993435,15
O26,0.6446305513381958,2,0.0,0,250.08441734313965,216,65.64428973197937,158,35.440356262700504,1
O26,0.7533565521240234,10,0.0,0,270.777170419693,233,70.29787230491638,170,38.74789225647455,2
O26,0.6353037357330322,1,0.0,0,304.55753231048584,256,79.72176337242126,205,43.828094599853,3
O26,0.2953534126281738,2,0.0,0,322.6726622581482,272,83.06223201751709,213,47.10104198192745,4
O26,0.0,0,0.0,0,348.5860612392425,281,83.06223201751709,213,50.793376280859526,5
O26,1.2844923904963903,7,0.0,0,391.5078477859497,308,83.06223201751709,213,56.82044186951446,6
O26,1.6945551484823227,16,0.0,0,435.0986328125,332,83.06223201751709,213,62.90803752864369,7
O26,0.2054898142814636,4,0.0,0,443.2597496509552,342,83.06223201751709,213,65.19953305374206,8
O26,0.9647479852040608,3,0.2862071990966797,1,464.9099080562592,358,84.33081388473511,216,68.33412598901812,9
O26,1.1898935953776042,15,0.3261844461614435,11,500.37207436561584,384,88.13922309875488,228,73.60456569674434,10
O26,1.0486998217446464,7,0.0638298988342285,2,528.1113157272339,409,90.2183620929718,232,78.01029011198062,11
O26,1.0119707584381104,1,0.1575791835784912,1,536.2361235618591,413,91.27470302581789,237,79.4586882269013,12
O26,0.0,0,0.0,0,549.9430179595947,423,91.46522450447084,239,82.28198365688098,13
O26,1.477551524455731,26,0.302192211151123,1,606.9631743431091,456,91.76741671562196,240,90.28924726533788,14
O26,1.128492434819539,3,0.5226469039916992,6,652.9798500537872,497,97.87282824516296,257,97.31505901681872,15
O27,0.0,0,0.0,0,9.873969554901125,40,0.6317083835601807,6,26.132601146733425,1
O27,0.149422287940979,2,0.0,0,13.988081693649292,52,0.6317083835601807,6,32.14891383348139,2
O27,0.1861131191253662,1,0.0,0,28.67746472358704,102,0.6317083835601807,6,40.01453605749818,3
O27,0.2668190002441406,1,0.0,0,43.30410528182984,140,0.6317083835601807,6,46.85859646289268,4
O27,0.3003358159746442,7,0.0,0,65.99213314056396,195,0.6317083835601807,6,52.84260679964468,5
O27,0.0922534465789794,1,0.0,0,75.42930889129639,220,0.6317083835601807,6,57.013647742873296,6
O27,0.438535213470459,4,0.0,0,81.68433666229248,239,0.6317083835601807,6,61.92764273600905,7
O27,0.0,0,0.0,0,83.33282709121704,248,0.6317083835601807,6,66.81337317289832,8
O27,0.0,0,0.0,0,94.68374013900755,276,0.6317083835601807,6,70.92384720988451,9
O27,0.0,0,0.0,0,108.28995037078856,301,0.6317083835601807,6,75.8136154405233,10
O27,0.0,0,0.0,0,113.71273422241212,317,0.6317083835601807,6,80.767988371154,11
O27,0.2269468307495117,2,0.0,0,117.7162253856659,333,0.6317083835601807,6,85.79907938302512,12
O27,0.7992019653320312,1,0.0,0,126.56797575950624,358,0.6317083835601807,6,91.39142372607608,13
O27,0.0,0,0.0,0,128.86448454856873,367,0.6317083835601807,6,96.0591133004926,14
O27,0.0,0,0.0,0,130.52000951766968,371,0.6317083835601807,6,99.45893563756763,15
O28,0.0,0,0.0,0,147.03707909584045,125,42.22443413734436,67,45.17296862429605,1
O28,0.8933717012405396,2,0.0,0,155.59944677352905,134,42.22443413734436,67,48.85358004827031,2
O28,0.5235543251037598,1,0.0,0,166.51328039169312,144,42.22443413734436,67,53.40909090909091,3
O28,0.0,0,0.0,0,174.03737711906433,152,42.22443413734436,67,57.29082864038616,4
O28,0.5743001103401184,4,0.0,0,179.92960667610168,158,42.22443413734436,67,60.438455349959774,5
O28,0.409422755241394,2,0.0,0,189.73050808906555,165,42.22443413734436,67,64.13917940466614,6
O28,0.5403295159339905,4,0.0,0,197.36586737632751,175,42.22443413734436,67,68.01086082059533,7
O28,0.5474398136138916,1,0.0,0,203.418865442276,183,42.22443413734436,67,71.6311343523733,8
O28,0.306835412979126,1,0.0,0,207.108145236969,188,42.22443413734436,67,75.0402252614642,9
O28,1.2362815141677856,2,0.0,0,216.31039452552795,196,42.22443413734436,67,78.35880933226066,10
O28,0.9557986259460448,2,0.0,0,218.22199177742004,198,42.22443413734436,67,81.13435237329043,11
O28,0.5998748938242594,6,0.0,0,228.047283411026,210,42.22443413734436,67,84.77473853580048,12
